stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction
002133,"Örs vezér tere M+H, déli tárolótér",47.500366,19.135700,,,,2,
002136,Fogas üzem (kapu),47.509119,19.014403,,,,,
002138,Kőbánya alsó vasútállomás,47.483139,19.127891,,,,2,
003002,Puskás Ferenc Stadion M,47.500368,19.103406,,,,2,
003105,Bécsi út / Vörösvári út,47.548817,19.029722,,,,2,
003106,"Örs vezér tere M+H, északi tároló",47.505160,19.136637,,,,2,
003118,"Óbuda, Bogdáni út",47.551471,19.041971,,,,2,
003691,"Békásmegyer, fordító F2/1",47.599622,19.055682,003691,,CS009275,2,
004716,"ÉD metró járműtelep,porta",47.469651,19.129090,,,,2,
004948,Metró ÉD járműtelep (kapu),47.465239,19.142612,,,,,
004952,Metró KNY járműtelep (kapu),47.502234,19.132179,,,,,
005924,Mill.FAV járműtelep (kapu),47.518788,19.093168,,,,,
006390,Cinkota kocsiszín (kapu),47.519345,19.217072,,,,,
007177,Csepel kocsiszín (kapu),47.421498,19.066247,,,,,
007675,Dunaharaszti külső kocsiszín (kapu),47.362751,19.088475,,,,,
007762,Szentendre kocsiszín (kapu),47.658755,19.072392,,,,,
007817,Márta utca,47.428685,18.929674,,,,2,49
007877,Bíróság,47.519544,18.978060,,,,1,-77
007878,Bíróság,47.519418,18.978021,,,,1,96
007879,"Római úti lakótelep, Varsa utca",47.570863,19.058543,,,,2,93
007880,Bécsi út / Vörösvári út,47.547562,19.028729,,,,2,
007881,Váradi utca,47.543771,19.030123,,,,2,-10
007882,Váradi utca,47.542691,19.029977,,,,2,168
007883,Perényi út,47.545812,19.029591,,,,2,-8
007884,Deák Ferenc tér M,47.497413,19.055158,,,,1,
007887,Mester utca / Ferenc körút,47.482246,19.068716,,,,2,15
007888,Mester utca / Ferenc körút,47.482570,19.068477,,,,2,-163
007890,Mester utca / Ferenc körút,47.481671,19.068782,,,,2,
007897,Kelenföld vasútállomás M,47.464572,19.022964,,,,1,
007899,Kelenföld vasútállomás M,47.464743,19.023003,,,,2,100
007900,Maros utcai rendelőintézet,47.503728,19.022391,,,,2,143
007902,Újpest-Városkapu M,47.558600,19.078220,,,,2,
007913,526. sor,47.479281,19.211332,,,,2,118
007914,526. sor,47.479300,19.211468,,,,2,-58
007919,Pólus Center,47.552544,19.143552,,,,2,-123
007923,Kele utca,47.431808,19.173804,,,,1,29
007924,Ültetvény utca,47.396915,19.175497,,,,2,44
007927,Ferihegy vasútállomás,47.438405,19.222663,,,,2,-43
007928,Ferihegy vasútállomás,47.437693,19.223443,,,,2,134
007930,Savoyai Jenő tér (Törley tér),47.430374,19.036286,,,,1,
007931,Savoyai Jenő tér (Törley tér),47.430374,19.036551,,,,1,-93
007943,"Csömör, Béke tér",47.542410,19.225091,,,,2,114
007949,Kocsis Sándor út,47.574316,19.013288,,,,1,-130
007950,Keleti pályaudvar M,47.501104,19.082712,,,,1,
007967,Kelenföld vasútállomás M,47.465750,19.021836,,,,1,
007968,Mogyoród útja,47.570602,19.128267,,,,1,38
007972,Hűvösvölgy,47.543135,18.964401,,,,2,-23
007973,Hűvösvölgy,47.542923,18.964567,,,,2,153
007974,Hűvösvölgy,47.542635,18.964753,,,,2,
007975,Hűvösvölgy,47.543243,18.964281,,,,2,
007976,Hűvösvölgy,47.543264,18.963995,,,,2,
007977,Hűvösvölgy,47.542968,18.964195,,,,2,
007978,Hűvösvölgy,47.542707,18.964355,,,,2,
007979,Vörösmarty utca M,47.507468,19.066509,,,,2,-132
007980,Vörösmarty utca M,47.507444,19.066767,,,,2,45
007995,Jókai Mór utca,47.410717,19.020681,,,,2,-31
007996,Budatétény vasútállomás (Campona),47.405720,19.013837,,,,1,
007997,Budatétény vasútállomás (Campona),47.405972,19.014129,,,,1,
007998,Budatétény vasútállomás (Campona),47.405711,19.014354,,,,1,
007999,Budatétény vasútállomás (Campona),47.405702,19.014155,,,,1,
008003,Budagyöngye,47.515894,18.999506,,,,2,
008005,Móricz Zsigmond körtér M,47.477023,19.047527,,,,1,
008018,"Örs vezér tere M+H, új tárolótér",47.500933,19.135714,,,,2,
008020,Örs vezér tere M+H,47.501005,19.136378,,,,2,
008021,Örs vezér tere M+H,47.501814,19.136233,,,,2,
008022,Örs vezér tere M+H,47.501355,19.136333,,,,2,
008023,Örs vezér tere M+H,47.501535,19.136180,,,,2,
008024,Örs vezér tere M+H,47.501148,19.136213,,,,1,
008025,Örs vezér tere M+H,47.501814,19.135915,,,,2,
008026,Örs vezér tere M+H,47.501374,19.136007,,,,2,
008027,Örs vezér tere M+H,47.501482,19.135861,,,,2,
008028,Örs vezér tere M+H,47.501112,19.135882,,,,1,
008029,Örs vezér tere M+H,47.502129,19.135703,,,,2,
008030,Örs vezér tere M+H,47.501751,19.135617,,,,2,
008031,Örs vezér tere M+H,47.501365,19.135688,,,,2,
008036,Kőbányai út 31.,47.487461,19.104252,,,,1,-67
008037,Kőbányai út 31.,47.487452,19.103721,,,,1,112
008040,Tas vezér utca,47.478606,19.040827,,,,2,105
008041,Tas vezér utca,47.478866,19.040866,,,,2,-64
008047,Lajosmizsei sorompó,47.450468,19.161410,,,,2,-59
008050,Liptó utca,47.486100,19.007031,,,,2,-146
008051,Liptó utca,47.486010,19.007071,,,,2,32
008067,Szent Imre tér,47.430948,19.070300,,,,2,-176
008086,Széll Kálmán tér M,47.507350,19.026352,,,,2,37
008087,Fény utcai piac,47.508464,19.023646,,,,1,-90
008090,Móricz Zsigmond körtér M,47.477256,19.048786,,,,1,
008093,Dél-pesti autóbuszgarázs,47.426667,19.161783,,,,2,-124
008094,Dél-pesti autóbuszgarázs,47.426227,19.161000,,,,2,59
008095,Nagykőrösi út,47.425255,19.157029,,,,2,-104
008096,Nagykőrösi út,47.425241,19.157512,,,,2,75
008098,Szabina út,47.436450,19.013416,,,,2,-167
008099,Pék utca,47.442037,19.018742,,,,2,106
008100,Pék utca,47.442184,19.018652,,,,2,-69
008101,Rózsavölgy felső,47.441102,19.022349,,,,2,117
008102,Rózsavölgy felső,47.441120,19.022627,,,,2,-57
008103,Rózsavölgy alsó,47.438280,19.030491,,,,2,-60
008104,Rózsavölgy alsó,47.438270,19.029987,,,,2,97
008106,Vihar utca,47.434313,19.035689,,,,2,154
008109,Damjanich utca,47.402518,18.991053,,,,1,22
008110,Barosstelep vasútállomás,47.399613,18.990911,,,,1,-91
008111,Barackos út / Angeli utca,47.402248,18.974427,,,,1,-124
008112,Szakiskola utca,47.404920,18.975841,,,,2,176
008113,Szilvafa utca,47.405214,18.982168,,,,2,-94
008114,Mátyás király utca,47.404326,18.990746,,,,2,-50
008115,Szebeni utca,47.430338,19.016061,,,,2,-81
008116,Szebeni utca,47.430177,19.016896,,,,2,99
008119,Mátra utca,47.400093,18.997693,,,,2,-100
008120,Budatétény vasútállomás (Campona),47.405630,19.013784,,,,2,
008124,Zöldike utca,47.430738,19.012823,,,,2,-73
008125,Zöldike utca,47.431205,19.012359,,,,2,154
008126,Hír utca,47.432896,19.011523,,,,2,15
008127,Hír utca,47.432914,19.011403,,,,2,-171
008128,Ady Endre út,47.435802,19.036578,,,,2,-20
008132,Puskás Ferenc Stadion M,47.501283,19.107691,,,,1,
008146,Vajda Péter utca,47.481389,19.103174,,,,1,-152
008147,Vajda Péter utca,47.481770,19.103619,,,,1,33
008148,Kőbányai út / Könyves Kálmán körút,47.485742,19.107077,,,,1,-150
008149,Kőbányai út / Könyves Kálmán körút,47.486236,19.107515,,,,1,23
008150,Zsil utca,47.482940,19.062984,,,,2,-45
008152,Mester utca / Könyves Kálmán körút,47.469596,19.083728,,,,1,-111
008153,Mester utca / Könyves Kálmán körút,47.469723,19.084482,,,,1,63
008155,Közvágóhíd H,47.468737,19.072756,,,,1,-94
008156,Új köztemető,47.473522,19.178241,,,,2,-6
008164,Örs vezér tere M+H,47.501382,19.136585,,,,1,
008168,I. utca,47.400994,19.002739,,,,1,-105
008169,I. utca,47.400895,19.003494,,,,1,85
008170,Angeli utca / Nagytétényi út,47.390622,18.981000,,,,1,53
008174,Népliget M,47.475842,19.100499,,,,2,
008175,"Népliget, tároló",47.475832,19.100183,,,,2,
008181,Cinkotai autóbuszgarázs,47.498562,19.237779,,,,2,
008187,Batthyány tér,47.506776,19.039318,008187,,CSF00062,2,
008206,Mexikói út M,47.519261,19.091048,,,,1,
008209,Nagy Lajos király útja / Czobor utca,47.522170,19.102815,,,,1,114
008218,Széchenyi István tér,47.499014,19.047022,,,,2,163
008222,Örs vezér tere M+H,47.503684,19.136443,,,,1,174
008238,Széchenyi István tér,47.500543,19.046690,,,,1,-90
008239,Müpa - Nemzeti Színház H,47.471165,19.073129,,,,1,148
008240,Müpa - Nemzeti Színház H,47.471363,19.073288,,,,1,-29
008241,Szőnyi út,47.526625,19.096220,,,,1,-40
008242,Teleki Blanka utca,47.523865,19.093761,,,,1,-156
008243,Szántóföld utca,47.572244,19.138830,,,,2,-142
008245,Kolozsvár utcai piac,47.536842,19.114916,,,,1,-133
008246,Rákospalotai köztemető,47.551240,19.136010,,,,2,-50
008260,Nagybányai út,47.528442,18.996170,,,,2,-108
008261,Nagybányai út,47.528352,18.996317,,,,2,71
008262,Hidegkuti Nándor Stadion,47.490690,19.108910,,,,1,176
008263,Müpa - Nemzeti Színház,47.469113,19.070051,008263,,CS008264,2,180
008264,Müpa - Nemzeti Színház,47.469995,19.070144,008264,,CS008264,2,0
008265,Közvágóhíd H,47.468737,19.073486,,,,1,61
008267,Szentlőrinci út,47.424593,19.157763,,,,2,
008269,Delej utca,47.484685,19.096357,,,,2,-64
008270,Delej utca,47.484460,19.096407,,,,1,105
008271,Szentendre,47.661038,19.075607,,,,2,
008272,Közvágóhíd,47.466285,19.077170,,,,2,
008283,Óceán-árok utca,47.589986,19.100345,,,,1,-122
008284,Óceán-árok utca,47.590345,19.101781,,,,1,56
008286,Népliget M,47.476294,19.099288,,,,1,21
008287,Népliget M,47.476345,19.098937,,,,1,-151
008289,Szilágyi utca,47.570877,19.111330,,,,1,-69
008317,Bartók Béla utca,47.433298,18.919575,,,,2,-130
008318,Raktárváros,47.441547,18.938276,,,,2,-123
008319,Raktárváros,47.441566,18.938608,,,,2,56
008322,Harangláb,47.431924,18.914078,,,,2,129
008323,Károlyi utca,47.437690,18.899546,,,,2,132
008324,Tükörhegy,47.436382,18.927085,,,,2,-125
008325,Tükörhegy,47.436211,18.926992,,,,2,55
008326,Ady Endre utca,47.435045,18.906261,,,,1,115
008328,Törökbálint Sportközpont,47.440051,18.895734,,,,2,-49
008329,Törökbálint Sportközpont,47.440284,18.895177,,,,2,132
008330,Határ utca,47.445284,18.894300,,,,2,-5
008331,Határ utca,47.444924,18.894036,,,,2,-159
008332,Hosszúrét utca,47.446066,18.881264,,,,2,172
008333,"Törökbálint, bevásárlóközpont",47.443242,18.887398,,,,2,
008336,Növény utca,47.402071,19.015810,,,,2,54
008337,Növény utca,47.402125,19.015254,,,,2,-127
008339,Budaörsi lakótelep,47.456025,18.940934,,,,1,-105
008341,Templom tér,47.542367,19.130057,,,,2,166
008344,Királyhágó tér,47.495421,19.018729,,,,1,128
008345,Katona József utca,47.438346,18.906478,,,,2,138
008353,Észak-Pesti Kórház,47.539377,19.122388,,,,2,46
008359,Óbudai autóbuszgarázs,47.567996,19.026302,008359,,CSF00678,1,
008360,Óbudai autóbuszgarázs,47.568290,19.026730,,,,2,
008365,Bécsi út / Vörösvári út,47.548489,19.028941,008365,,CSF00568,1,
008377,Nagykőrösi út / Határ út,47.456450,19.114660,,,,2,-84
008379,Kőbánya alsó vasútállomás,47.483885,19.127207,,,,2,
008380,Kőbánya alsó vasútállomás,47.483256,19.128130,,,,2,
008381,Kőbánya alsó vasútállomás,47.484011,19.127574,,,,2,
008382,Örs vezér tere M+H,47.502448,19.136843,,,,1,-10
008383,Örs vezér tere M+H,47.502623,19.136654,008383,,CSF01753,1,145
008385,"Rákospalota, MÁV-telep",47.541293,19.121408,,,,2,
008399,Pestszentimre vasútállomás,47.404251,19.186538,,,,2,-137
008400,"Dunakeszi, Auchan áruház",47.608972,19.117347,,,,2,
008402,Kert sor,47.591122,19.045358,,,,1,23
008403,Kert sor,47.591374,19.045384,,,,1,-155
008404,Csillaghegy H,47.584886,19.042047,,,,2,16
008405,Csillaghegy H,47.584781,19.041862,,,,1,-158
008406,Forrásliget lakópark,47.581153,19.037568,,,,2,49
008407,Forrásliget lakópark,47.581354,19.037795,,,,2,-110
008408,Ürömhegyi lejtő,47.577645,19.032198,,,,2,15
008409,Ürömhegyi lejtő,47.577663,19.032065,,,,2,-166
008410,Aranyhegyi lejtő,47.572593,19.030301,,,,2,14
008411,Aranyhegyi lejtő,47.572512,19.030128,,,,2,-164
008412,Bécsi út / Vörösvári út,47.548475,19.029204,,,,2,-1
008426,"Káposztásmegyer, Szilas-patak",47.577414,19.114927,,,,2,14
008428,"Budakalász, Budai út",47.617063,19.051534,,,,2,-19
008429,"Budakalász, Budai út",47.616729,19.051767,,,,2,145
008430,"Budakalász, Lenfonó H",47.620304,19.046374,,,,1,-9
008431,"Budakalász, Lenfonó H",47.621800,19.045662,,,,1,149
008432,Szentistvántelep H,47.628444,19.043367,,,,2,-17
008433,Szentistvántelep H,47.627055,19.043879,,,,2,162
008434,Pomáz H,47.643897,19.030357,,,,1,-43
008435,Pomáz H,47.642594,19.031459,,,,2,128
008436,"Szentendre, Papírgyár",47.648965,19.069449,,,,1,16
008437,Papírgyár,47.647762,19.069061,,,,1,177
008438,Egyetem,47.652306,19.071738,,,,1,18
008439,Egyetem,47.652067,19.071331,,,,1,-150
008447,Dióskert,47.425580,18.911840,,,,2,-95
008455,Jászai Mari tér,47.512811,19.047938,,,,2,
008458,Tisza István tér,47.517230,19.107350,,,,1,-42
008459,Uzsoki Utcai Kórház,47.519822,19.103742,,,,1,-42
008460,Uzsoki Utcai Kórház,47.519642,19.103436,,,,1,
008461,Erzsébet királyné útja / Róna utca,47.521615,19.101317,,,,1,-41
008462,Bretzfeld utca,47.460552,18.945930,,,,2,153
008471,Dél-pesti autóbuszgarázs,47.426479,19.160895,,,,2,
008472,Dél-pesti autóbuszgarázs,47.426703,19.161134,,,,2,
008479,Homokbánya utca,47.399559,18.941035,,,,2,-41
008480,Petőfi Sándor utca,47.402470,18.937784,,,,1,46
008481,Soroksár felső H,47.410028,19.111501,,,,2,172
008486,Csonka János tér,47.470070,19.044795,,,,1,-167
008490,Határ út M,47.464573,19.126164,,,,2,
008491,Jászberényi út,47.485549,19.192668,,,,2,8
008498,Aszódi utca,47.463482,19.101007,,,,2,
008499,Közterületfenntartó Zrt.,47.467994,19.106702,,,,2,-149
008500,Ecseri út M,47.470485,19.108814,,,,2,-150
008501,Ferencvárosi rendelőintézet,47.476947,19.075454,,,,2,-119
008518,Tímár utca H,47.533275,19.043766,,,,2,
008519,Tímár utca H,47.533311,19.043634,,,,2,-145
008520,Szentlélek tér H,47.539380,19.047083,,,,2,
008521,Serfőző utca,47.538327,19.046955,,,,2,178
008532,Kossuth Lajos tér M,47.505894,19.048522,008532,,CS009176,1,-100
008535,Cinkotai autóbuszgarázs,47.498283,19.237565,,,,2,
008543,Szépvölgyi út H,47.528670,19.040460,,,,2,
008544,Szépvölgyi út H,47.527482,19.039956,,,,2,-169
008545,Puskás Ferenc Stadion M,47.500105,19.107013,,,,1,-97
008546,Boráros tér H,47.479738,19.067812,,,,2,
008548,"Gyál, Bem József utca",47.372935,19.216779,,,,2,131
008549,Kisfaludy Sándor utca,47.375035,19.213621,,,,2,134
008550,Toldi Miklós utca,47.377325,19.210039,,,,2,133
008551,Bacsó Béla utca,47.379534,19.206696,,,,2,133
008552,Erdősor utca,47.383039,19.201912,,,,2,-138
008553,Bajcsy-Zsilinszky utca,47.385653,19.204449,,,,2,133
008559,Korompai utca,47.484860,19.012485,,,,1,-96
008560,Korompai utca,47.484789,19.012843,,,,1,77
008567,Gazdagréti tér,47.473277,18.992780,,,,1,33
008569,Cinkotai autóbuszgarázs,47.498194,19.237086,,,,2,-120
008575,Távíró utca,47.461151,19.118990,,,,2,42
008577,Rákoshegy vasútállomás,47.467968,19.244845,,,,2,-81
008587,Gyáli út,47.456515,19.111039,,,,2,-102
008588,Gyáli út,47.456326,19.110349,,,,2,78
008589,Gyáli út,47.466017,19.103463,,,,2,-37
008590,Szent Gellért tér M,47.483337,19.053086,,,,1,-154
008591,Szent Gellért tér M,47.483616,19.053537,,,,1,33
008593,Móricz Zsigmond körtér M,47.476836,19.047188,,,,1,-177
008597,Sport utca,47.455942,18.948108,,,,1,176
008598,Baross utca,47.460328,18.958490,,,,2,-10
008605,Kolosy tér,47.527590,19.036729,,,,1,96
008642,Székesdűlő,47.611119,19.104279,,,,2,62
008643,Székesdűlő,47.611164,19.104053,,,,2,-120
008644,Vízművek,47.599539,19.092791,,,,2,34
008645,Vízművek,47.600312,19.093310,,,,2,-144
008646,Áruházi bekötőút,47.386494,19.022627,,,,2,-119
008647,Áruházi bekötőút,47.386539,19.023091,,,,2,66
008649,"Székesdűlő, ipartelep",47.615164,19.109245,,,,2,22
008650,"Székesdűlő, ipartelep",47.614750,19.108806,,,,2,-158
008651,Auchan Sziget áruház,47.384381,19.025807,,,,2,153
008652,Auchan Sziget áruház,47.384174,19.025966,,,,2,154
008670,Auchan Liget,47.541169,19.247043,,,,2,
008681,Hidegkuti Nándor Stadion,47.490533,19.110469,,,,2,
008684,Albertfalva kitérő,47.452693,19.038524,,,,2,-168
008685,Albertfalva kitérő,47.452801,19.038961,,,,2,8
008692,Felsőcsatári köz,47.458682,19.177051,,,,2,
